0.002,0.003,0.011,0.013,0.013,0.015,0.018,0.02,0.021,0.022,-0.8211437533002184,-0.8211437533002184,-0.8605042815236453,-0.8832479021812967,-0.9034076873420261,-0.9366612744537456,-0.9560532176914308,-0.9615620964309313,-0.9615620964309313,-0.966623687548297
0.003,0.011,0.013,0.013,0.015,0.018,0.02,0.021,0.022,0.027,-0.982742982328585,-0.9963205242127116,-0.9963205242127116,-0.9975404285757105,-0.9984998009550828,-0.9992119265681354,-0.9992119265681354,-0.9989947578784936,-0.9989947578784936,-0.9941986785909819
0.011,0.013,0.013,0.015,0.018,0.02,0.021,0.022,0.027,0.027,-0.9882644321704708,-0.9882644321704708,-0.9847963130040629,-0.9829655792348568,-0.9791485596634976,-0.9771766113470225,-0.9751715051052442,-0.9648690330694973,-0.9627939163872902,-0.9627939163872902
0.013,0.013,0.015,0.018,0.02,0.021,0.022,0.027,0.027,0.03,-0.9546180344039491,-0.9546180344039491,-0.9526282283602101,-0.9487429549775287,-0.9432063724398858,-0.9432063724398858,-0.9397483063074151,-0.9307341939028131,-0.9294537641477568,-0.9270994303878511
0.013,0.015,0.018,0.02,0.021,0.022,0.027,0.027,0.03,0.032,-0.9260284008867067,-0.9241047348623476,-0.9232541308124519,-0.9217794590339848,-0.9192012754451934,-0.919042476260303,-0.919042476260303,-0.919042476260303,-0.9189607409111976,-0.9191736449749656
0.015,0.018,0.02,0.021,0.022,0.027,0.027,0.03,0.032,0.034,-0.9193953704566395,-0.9196912482782363,-0.9196912482782363,-0.921597187279553,-0.9229676424244035,-0.9229676424244035,-0.9229676424244035,-0.927521284375689,-0.9422352381594202,-0.9538592637830514
0.018,0.02,0.021,0.022,0.027,0.027,0.03,0.032,0.034,0.038,-0.9538592637830514,-0.9590989284401178,-0.9608582744222974,-0.9608582744222974,-0.9678770323603851,-0.9678770323603851,-0.9747126405346953,-0.9795931224680708,-0.9826794451647809,-0.9856004009056039
0.02,0.021,0.022,0.027,0.027,0.03,0.032,0.034,0.038,0.041,-0.9930997293224202,-0.9950880643596591,-0.9959712147259826,-0.9981368500934339,-0.9991447715181875,-0.9995083321982461,-0.9999388990396633,-0.999999715923061,-0.9995280507411232,-0.9980140119353837
0.021,0.022,0.027,0.027,0.03,0.032,0.034,0.038,0.041,0.042,-0.9972645831436271,-0.9963882871680555,-0.9953825204702513,-0.9900149889570978,-0.9883251610329199,-0.9864916802346044,-0.9776803805649633,-0.9664172707616807,-0.9526034231427158,-0.9487420823548391
0.022,0.027,0.027,0.03,0.032,0.034,0.038,0.041,0.042,0.042,-0.9316374161336645,-0.9220804163636331,-0.9064802820323944,-0.8893607199790575,-0.8833172908743797,-0.8771060238287725,-0.8707274462992987,-0.8574709927384147,-0.8435542355163567,-0.8363506649259961
0.027,0.027,0.03,0.032,0.034,0.038,0.041,0.042,0.042,0.043,-0.8214588746090972,-0.7814674076217949,-0.7730085378294471,-0.7644004011536726,-0.7556450046171634,-0.7467444431245285,-0.7377008976148465,-0.7377008976148465,-0.719193996835996,-0.7001433953714621
0.027,0.03,0.032,0.034,0.038,0.041,0.042,0.042,0.043,0.047,-0.6904205159797807,-0.6705928680154254,-0.6604936183347893,-0.6502745427076613,-0.6502745427076613,-0.6502745427076613,-0.6082593533101034,-0.5866115947391565,-0.5194192208538795,-0.5194192208538795
0.03,0.032,0.034,0.038,0.041,0.042,0.042,0.043,0.047,0.053,-0.49636247791921184,-0.48472615573662314,-0.473022594828779,-0.46125536617346236,-0.44942805703662114,-0.4375442681154079,-0.4256076106956405,-0.4015901715192768,-0.37740473477583836,-0.36525807828352025
0.032,0.034,0.038,0.041,0.042,0.042,0.043,0.047,0.053,0.053,-0.3530802868285008,-0.3530802868285008,-0.3408749681190906,-0.3286457186159385,-0.2918501275471895,-0.2918501275471895,-0.2672652777876159,-0.23037608386785519,-0.21809020656830505,-0.21809020656830505
0.034,0.038,0.041,0.042,0.042,0.043,0.047,0.053,0.053,0.054,-0.21809020656830505,-0.18131103163232595,-0.16908837461423645,-0.1447178771512431,-0.1204678916865431,-0.10839569670231615,-0.06052723963525715,-0.04867931796921831,-0.025145483477827312,-0.025145483477827312
0.038,0.041,0.042,0.042,0.043,0.047,0.053,0.053,0.054,0.055,-0.013464762493533344,-0.0018448680378978367,-0.0018448680378978367,0.009711753537769338,0.05525874086558196,0.06646446799276357,0.09961382479773354,0.11050119674883341,0.1636398567097905,0.18425958861820044
0.041,0.042,0.042,0.043,0.047,0.053,0.053,0.054,0.055,0.056,0.18425958861820044,0.1944273971558728,0.20449874921603142,0.2533676239316054,0.2628364774636207,0.29061702304512466,0.31744335791831874,0.35170087726028776,0.35170087726028776,0.35999262956759237
0.042,0.042,0.043,0.047,0.053,0.053,0.054,0.055,0.056,0.056,0.3842090451104098,0.40743400065380364,0.41495503755625307,0.42966639199546564,0.44393754778677136,0.46452221725595866,0.5027618115536265,0.5087598688433688,0.5087598688433688,0.5478103498981494
